Job Title,Employment Type,Expertise Level,Company Location,Salary in USD,Company Size,Year
Data Engineer,Full-Time,Intermediate,United States,146000,Medium,2023
Data Engineer,Full-Time,Intermediate,United States,97000,Medium,2023
Data Engineer,Full-Time,Expert,United States,147100,Medium,2023
Data Engineer,Full-Time,Expert,United States,90700,Medium,2023
Data Scientist,Full-Time,Expert,United States,257000,Medium,2023
Data Scientist,Full-Time,Expert,United States,197000,Medium,2023
Business Intelligence Engineer,Full-Time,Expert,United States,140000,Medium,2023
Business Intelligence Engineer,Full-Time,Expert,United States,120000,Medium,2023
Data Analyst,Full-Time,Expert,United States,85000,Medium,2023
Data Analyst,Full-Time,Expert,United States,79000,Medium,2023
Data Analyst,Full-Time,Expert,United States,93919,Medium,2023
Data Analyst,Full-Time,Expert,United States,51962,Medium,2023
Data Engineer,Full-Time,Expert,United States,155000,Medium,2023
Data Engineer,Full-Time,Expert,United States,84800,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,250500,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,166600,Medium,2023
Data Scientist,Full-Time,Intermediate,United Kingdom,135344,Medium,2023
Data Scientist,Full-Time,Intermediate,United Kingdom,98432,Medium,2023
Data Engineer,Full-Time,Director,United States,174500,Medium,2023
Data Engineer,Full-Time,Director,United States,113000,Medium,2023
Data Engineer,Full-Time,Expert,United States,135000,Medium,2023
Head of Data,Full-Time,Director,United Kingdom,246080,Medium,2023
Head of Data,Full-Time,Director,United Kingdom,184560,Medium,2023
Data Analyst,Full-Time,Intermediate,Estonia,53120,Medium,2023
Data Analyst,Full-Time,Intermediate,Estonia,33686,Medium,2023
Data Engineer,Full-Time,Expert,United States,260000,Medium,2023
Data Engineer,Full-Time,Expert,United States,225000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,340000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,212000,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,213600,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,142400,Medium,2023
Data Scientist,Full-Time,Expert,United States,153600,Medium,2023
Data Scientist,Full-Time,Expert,United States,106800,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,309000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,142000,Medium,2023
Research Scientist,Full-Time,Expert,United States,303050,Medium,2023
Research Scientist,Full-Time,Expert,United States,202350,Medium,2023
Data Engineer,Full-Time,Expert,United States,143000,Medium,2023
Data Engineer,Full-Time,Expert,United States,95000,Medium,2023
Business Intelligence Engineer,Full-Time,Expert,United States,185000,Large,2023
Business Intelligence Engineer,Full-Time,Expert,United States,79600,Large,2023
Data Scientist,Full-Time,Expert,United States,207900,Medium,2023
Data Scientist,Full-Time,Expert,United States,158400,Medium,2023
Data Infrastructure Engineer,Full-Time,Expert,United States,385000,Medium,2023
Data Infrastructure Engineer,Full-Time,Expert,United States,200000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,241300,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,211949,Medium,2023
Data Strategy Manager,Full-Time,Expert,United States,115000,Medium,2023
Data Strategy Manager,Full-Time,Expert,United States,90000,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,172200,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,131200,Medium,2023
Data Scientist,Full-Time,Junior,United States,105000,Medium,2023
Data Scientist,Full-Time,Junior,United States,70000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,253000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,123800,Medium,2023
Data Scientist,Full-Time,Expert,United States,240000,Medium,2023
Data Scientist,Full-Time,Expert,United States,142500,Medium,2023
Data Scientist,Full-Time,Junior,Poland,34924,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,330000,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,204000,Medium,2023
Machine Learning Engineer,Full-Time,Director,United States,180000,Medium,2023
Machine Learning Engineer,Full-Time,Director,United States,160000,Medium,2023
Business Intelligence Analyst,Full-Time,Expert,United States,193600,Medium,2023
Business Intelligence Analyst,Full-Time,Expert,United States,130838,Medium,2023
Data Engineer,Full-Time,Expert,United States,225500,Medium,2023
Data Engineer,Full-Time,Expert,United States,139400,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,328133,Medium,2023
Machine Learning Engineer,Full-Time,Expert,United States,218755,Medium,2023
Data Scientist,Full-Time,Expert,United States,250830,Medium,2023
Data Scientist,Full-Time,Expert,United States,143370,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,260000,Medium,2023
Analytics Engineer,Full-Time,Expert,United States,160000,Medium,2023
Data Scientist,Full-Time,Expert,United States,203500,Medium,2023
Data Scientist,Full-Time,Expert,United States,166500,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,180000,Medium,2023
Data Scientist,Full-Time,Intermediate,United States,162000,Medium,2023
Data Engineer,Full-Time,Expert,United States,145000,Medium,2023
Data Engineer,Full-Time,Expert,United States,115000,Medium,2023
Data Analyst,Full-Time,Expert,United States,180400,Medium,2023
Data Analyst,Full-Time,Expert,United States,138800,Medium,2023
Research Analyst,Full-Time,Expert,United States,148350,Medium,2023
Research Analyst,Full-Time,Expert,United States,87400,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,87500,Medium,2023
Data Analyst,Full-Time,Intermediate,United States,62500,Medium,2023
Data Science Consultant,Full-Time,Expert,United States,157550,Medium,2023
Data Science Consultant,Full-Time,Expert,United States,104650,Medium,2023
Bear Robotics,Full-Time,Intermediate,United States,215000,Medium,2023
